종명칭,섬이름,부리_길이,부리_깊이,물갈퀴_길이,체중,성별,연도
아델리,토르거센,39.1,18.7,181,3750,수컷,2007
아델리,토르거센,39.5,17.4,186,3800,암컷,2007
아델리,토르거센,40.3,18,195,3250,암컷,2007
아델리,토르거센,36.7,19.3,193,3450,암컷,2007
아델리,토르거센,39.3,20.6,190,3650,수컷,2007
아델리,토르거센,38.9,17.8,181,3625,암컷,2007
아델리,토르거센,39.2,19.6,195,4675,수컷,2007
아델리,토르거센,41.1,17.6,182,3200,암컷,2007
아델리,토르거센,38.6,21.2,191,3800,수컷,2007
아델리,토르거센,34.6,21.1,198,4400,수컷,2007
아델리,토르거센,36.6,17.8,185,3700,암컷,2007
아델리,토르거센,38.7,19,195,3450,암컷,2007
아델리,토르거센,42.5,20.7,197,4500,수컷,2007
아델리,토르거센,34.4,18.4,184,3325,암컷,2007
아델리,토르거센,46,21.5,194,4200,수컷,2007
아델리,비스코,37.8,18.3,174,3400,암컷,2007
아델리,비스코,37.7,18.7,180,3600,수컷,2007
아델리,비스코,35.9,19.2,189,3800,암컷,2007
아델리,비스코,38.2,18.1,185,3950,수컷,2007
아델리,비스코,38.8,17.2,180,3800,수컷,2007
아델리,비스코,35.3,18.9,187,3800,암컷,2007
아델리,비스코,40.6,18.6,183,3550,수컷,2007
아델리,비스코,40.5,17.9,187,3200,암컷,2007
아델리,비스코,37.9,18.6,172,3150,암컷,2007
아델리,비스코,40.5,18.9,180,3950,수컷,2007
아델리,드림,39.5,16.7,178,3250,암컷,2007
아델리,드림,37.2,18.1,178,3900,수컷,2007
아델리,드림,39.5,17.8,188,3300,암컷,2007
아델리,드림,40.9,18.9,184,3900,수컷,2007
아델리,드림,36.4,17,195,3325,암컷,2007
아델리,드림,39.2,21.1,196,4150,수컷,2007
아델리,드림,38.8,20,190,3950,수컷,2007
아델리,드림,42.2,18.5,180,3550,암컷,2007
아델리,드림,37.6,19.3,181,3300,암컷,2007
아델리,드림,39.8,19.1,184,4650,수컷,2007
아델리,드림,36.5,18,182,3150,암컷,2007
아델리,드림,40.8,18.4,195,3900,수컷,2007
아델리,드림,36,18.5,186,3100,암컷,2007
아델리,드림,44.1,19.7,196,4400,수컷,2007
아델리,드림,37,16.9,185,3000,암컷,2007
아델리,드림,39.6,18.8,190,4600,수컷,2007
아델리,드림,41.1,19,182,3425,수컷,2007
아델리,드림,36,17.9,190,3450,암컷,2007
아델리,드림,42.3,21.2,191,4150,수컷,2007
아델리,비스코,39.6,17.7,186,3500,암컷,2008
아델리,비스코,40.1,18.9,188,4300,수컷,2008
아델리,비스코,35,17.9,190,3450,암컷,2008
아델리,비스코,42,19.5,200,4050,수컷,2008
아델리,비스코,34.5,18.1,187,2900,암컷,2008
아델리,비스코,41.4,18.6,191,3700,수컷,2008
아델리,비스코,39,17.5,186,3550,암컷,2008
아델리,비스코,40.6,18.8,193,3800,수컷,2008
아델리,비스코,36.5,16.6,181,2850,암컷,2008
아델리,비스코,37.6,19.1,194,3750,수컷,2008
아델리,비스코,35.7,16.9,185,3150,암컷,2008
아델리,비스코,41.3,21.1,195,4400,수컷,2008
아델리,비스코,37.6,17,185,3600,암컷,2008
아델리,비스코,41.1,18.2,192,4050,수컷,2008
아델리,비스코,36.4,17.1,184,2850,암컷,2008
아델리,비스코,41.6,18,192,3950,수컷,2008
아델리,비스코,35.5,16.2,195,3350,암컷,2008
아델리,비스코,41.1,19.1,188,4100,수컷,2008
아델리,토르거센,35.9,16.6,190,3050,암컷,2008
아델리,토르거센,41.8,19.4,198,4450,수컷,2008
아델리,토르거센,33.5,19,190,3600,암컷,2008
아델리,토르거센,39.7,18.4,190,3900,수컷,2008
아델리,토르거센,39.6,17.2,196,3550,암컷,2008
아델리,토르거센,45.8,18.9,197,4150,수컷,2008
아델리,토르거센,35.5,17.5,190,3700,암컷,2008
아델리,토르거센,42.8,18.5,195,4250,수컷,2008
아델리,토르거센,40.9,16.8,191,3700,암컷,2008
아델리,토르거센,37.2,19.4,184,3900,수컷,2008
아델리,토르거센,36.2,16.1,187,3550,암컷,2008
아델리,토르거센,42.1,19.1,195,4000,수컷,2008
아델리,토르거센,34.6,17.2,189,3200,암컷,2008
아델리,토르거센,42.9,17.6,196,4700,수컷,2008
아델리,토르거센,36.7,18.8,187,3800,암컷,2008
아델리,토르거센,35.1,19.4,193,4200,수컷,2008
아델리,드림,37.3,17.8,191,3350,암컷,2008
아델리,드림,41.3,20.3,194,3550,수컷,2008
아델리,드림,36.3,19.5,190,3800,수컷,2008
아델리,드림,36.9,18.6,189,3500,암컷,2008
아델리,드림,38.3,19.2,189,3950,수컷,2008
아델리,드림,38.9,18.8,190,3600,암컷,2008
